真实排名,原参谋排名,商品ID,商品标题,所属店铺,支付金额(元),支付件数,支付买家数,客单价,主图透出价格,核心卖点标签,营销文案标签,主图排版视觉风格,1.8米直达规格链接,商品详情标准链接,高清主图原图地址,对应本地主图文件名,主图完整OCR识别文案
11,11,728968513494,派乐熊全拆儿童床垫护脊加密弹簧青少年学生家用席梦思0胶水工艺,派乐熊旗舰店,22195.17,15,15,"1,479.68",未透出,护脊偏硬支撑,平台/政府大额补贴,促销大字报冲击型,https://detail.tmall.com/item.htm?id=728968513494&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=728968513494,https://img.alicdn.com/bao/uploaded/i2/2215984907648/O1CN0111kTrXcHdmJ1chua_!!4611686018427381120-0-item_pic.jpg,728968513494.jpg,派乐熊×专注儿童健康睡眠 2160加密酷布小弹簧 15% 政府补贴 因地区差异，补贴(优惠)信息详见支付页面 家装节 88VIP消费券 立减12% 88VIP专享 A类 美国出口品质+5A双认证 纯棉 全拆软硬睡感可调节
12,12,893138674729,麻师傅天然S形黄麻床垫叠加软床专用加硬神器儿童老人护腰脊椰棕,麻师傅家具旗舰店,18830.49,26,25,753.22,未透出,护脊偏硬支撑 | 环保椰棕/黄麻,平台/政府大额补贴,促销大字报冲击型,https://detail.tmall.com/item.htm?id=893138674729&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=893138674729,https://img.alicdn.com/bao/uploaded/i4/2217706005293/O1CN01GSqhqusyJaG1chua_!!4611686018427380525-0-item_pic.jpg,893138674729.jpg,麻师傅 ? 软垫加硬神器 3-5cm硬黄麻床垫 政府补贴 15% + 家装节 12% 48小时 青年/老人/孕婴童 顺丰发货
13,13,521995661165,月光之家五星级酒店乳胶床垫家庭用超软独立弹簧席梦思1.8米加厚,moonlightfamily旗舰店,16502.0,9,7,"2,357.43",未透出,天然乳胶,平台/政府大额补贴 | 免费试睡保障 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=521995661165&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=521995661165,https://img.alicdn.com/bao/uploaded/i4/919851856/O1CN01Cx58UXUGLTG32pKq_!!4611686018427384656-0-item_pic.jpg,521995661165.jpg,Moonlight family MOONLICHT 月光之家 家装节 FAMILY 超软五星级酒店睡感 超软偏软厚度22-30CM Olenguyong 用光之家·品保 Moonlight family THSISAHOTSELING MATTRESS 优惠可叠加 政府补贴官方立减惊喜红包 88VIP 200天免费试睡 15% 12% 150 20年超长质保 3期免息 价保100天 免费取旧 顺丰 SF 0胶+5A双重认证 到家
14,14,871914448139,派乐熊儿童专用床垫加密独立袋弹簧青少年偏硬护脊席梦思学生家用,PARELER BEAR旗舰店,16088.84,16,14,"1,149.20",未透出,护脊偏硬支撑 | 独立袋装弹簧,平台/政府大额补贴,促销大字报冲击型,https://detail.tmall.com/item.htm?id=871914448139&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=871914448139,https://img.alicdn.com/bao/uploaded/i4/2219146481808/O1CN016zbwYtFXi1C1chua_!!4611686018427383952-0-item_pic.jpg,871914448139.jpg,派乐熊×专注儿童健康睡眠 2160颗专利儿童小弹簧 派东 15% 政府补贴 因地区差异，补贴(优惠)信息详见支付页面 家装节 88VIP消费券 立减12% 88VIP专享 儿童 美国出口品质+5A双认证 专用 静音护脊加密独立袋弹簧
15,15,866382200003,甜蜜睡眠床垫马尾毛手工拉扣席梦思独立袋装弹簧乳胶护脊卧室家用,甜蜜睡眠旗舰店,15695.06,5,5,"3,139.01",未透出,护脊偏硬支撑 | 天然乳胶 | 独立袋装弹簧,平台/政府大额补贴 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=866382200003&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=866382200003,https://img.alicdn.com/bao/uploaded/i3/2215897735682/O1CN01XfXIupbAQvG2R3rs_!!4611686018427380226-0-item_pic.jpg,866382200003.jpg,甜蜜睡眠丨暮云系列 家装节 Tianmishuimian 母婴级环保 通过280余项检测认证 0胶床垫 政府补贴！！ 15% 9折券 无门槛消费券（至高减150） 88VIP专享 甜蜜睡眠 Zzz sweet seep matress 2件再享折上折，买越多省越多！ 综合补贴到手价： 政府 官方 店铺 至高省 38% 2018 ? + + 补贴 立减 优惠 起 全国送货入户 赠大件运费险 花呗分期免息 365天免费囤货
16,16,616295938570,睡眠骑士乳胶超软席梦思床垫独立弹簧30cm加厚五星级酒店软垫2米,睡眠骑士床垫企业店,15605.0,9,6,"2,600.83",未透出,天然乳胶,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?id=616295938570&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=616295938570,https://img.alicdn.com/bao/uploaded/i3/720743073/O1CN01KVWZQp1YZUESRP0qh_!!720743073.jpg,616295938570.jpg,"SLEEP"""" 睡眠骑士 官方优选 KNIGHT 五星级酒店床垫 加厚乳胶|奢享睡感 30CM 200天免费试睡|20年超长质保 加厚超软 48小时顺丰速发 部分尺寸 及地区 花呗分期免息 365天免费仓储 免费送货到家"
17,17,685270598397,睡眠骑士五星酒店席梦思款床垫15cm厚乳胶记忆棉家用软垫20cm双面,睡眠骑士床垫企业店,15468.84,9,8,"1,933.61",未透出,天然乳胶 | 零压记忆棉 | 双面双睡感/可拆洗,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?id=685270598397&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=685270598397,https://img.alicdn.com/bao/uploaded/i1/720743073/O1CN01TgnPdW1YZUESnw6Gt_!!720743073.jpg,685270598397.jpg,SLEEP° 睡眠骑士 官方优选 KNIGHT 五星级酒店床垫 厚度:20/22/24cm 15-24cm 200天免费试睡|20年超长质保 酒店睡感 现货速发顺丰送到家 部分尺寸 及地区 花呗分期免息 365天免费仓储 免费送货到家
18,18,788140809544,15公分薄独立袋弹簧床垫家用10cm12含乳胶黄麻儿童榻榻米席梦思,麻师傅家具旗舰店,12044.16,13,11,"1,094.92",未透出,天然乳胶 | 独立袋装弹簧 | 环保椰棕/黄麻,平台/政府大额补贴,促销大字报冲击型,https://detail.tmall.com/item.htm?id=788140809544&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=788140809544,https://img.alicdn.com/bao/uploaded/i4/2217706005293/O1CN014s1wi9Dml7L1chua_!!4611686018427380525-0-item_pic.jpg,788140809544.jpg,麻师傅 ? 10-15cm薄弹簧床垫 软硬适中不咯腰 政府补贴 15% M 家装节 12% 72小 小时 高箱\储物\榻榻米 顺丰发货
19,19,639619273082,【睡眠骑士呼呼】儿童床垫 青少年S黄麻榻榻米硬垫乳胶护脊上下铺,睡眠骑士床垫企业店,11792.0,9,9,"1,310.22",未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻 | 抗菌防螨健康,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?id=639619273082&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=639619273082,https://img.alicdn.com/bao/uploaded/i4/720743073/O1CN01sfmNoR1YZUGUkKiyY_!!720743073.jpg,639619273082.jpg,SLEEP. 睡眠骑士 官方优选 KNIGHT 呼呼款·0胶水床垫 S型黄麻内芯|抑菌防螨 15-24CM 现货速发顺丰送到家 SF 加硬护脊 部分尺寸及地区详情咨询客服 200天免费试睡 花呗分期免息 365天免费仓储 免费送货到家
20,20,1025218536548,派乐熊儿童全拆S形黄麻床垫学生宿舍上下铺加硬护脊青少年榻榻米,PARELER BEAR旗舰店,9919.92,11,9,"1,102.21",未透出,护脊偏硬支撑 | 环保椰棕/黄麻 | 双面双睡感/可拆洗,平台/政府大额补贴,促销大字报冲击型,https://detail.tmall.com/item.htm?id=1025218536548&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=1025218536548,https://img.alicdn.com/bao/uploaded/i1/2219146481808/O1CN01JKXQgJFF7zJ1chua_!!4611686018427383952-0-item_pic.jpg,1025218536548.jpg,派乐熊×专注儿童健康睡眠 全拆儿童S形黄麻床垫 15% 政府补贴 因地区差异，补贴(优惠)信息详见支付页面 家装节 88VIP消费券 立减12% 88VIP专享 儿童 美国出口品质+5A双认证 专用 榻榻米/上下铺/折叠可定制
21,21,1046478563403,月光之家全拆家庭用床垫薄款独立弹簧乳胶记忆棉黄麻席梦思1.8米,moonlightfamily旗舰店,9763.08,6,5,"1,952.62",未透出,天然乳胶 | 环保椰棕/黄麻 | 零压记忆棉,平台/政府大额补贴 | 免费试睡保障 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=1046478563403&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=1046478563403,https://img.alicdn.com/bao/uploaded/i3/919851856/O1CN016GUsCkB01pF32pKq_!!4611686018427384656-0-item_pic.jpg,1046478563403.jpg,Moonlight family MOONLICHT 月光之家 家装节 FAMILY 超薄全拆弹簧床垫 软硬可调厚度12-20CM 优惠可叠加 政府补贴官方立减惊喜红包 88VIP 200天免费试睡 15% 12% 150 20年超长质保 3期免息 价保100天 免费取旧 顺丰 SF 0胶+5A双重认证 到家
22,22,730136503602,派乐熊儿童全拆S形黄麻床垫学生宿舍上下铺加硬护脊青少年榻榻米,派乐熊旗舰店,9414.69,12,10,941.47,未透出,护脊偏硬支撑 | 环保椰棕/黄麻 | 双面双睡感/可拆洗,平台/政府大额补贴,促销大字报冲击型,https://detail.tmall.com/item.htm?id=730136503602&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=730136503602,https://img.alicdn.com/bao/uploaded/i2/2215984907648/O1CN015fWAEm1c4xL1chua_!!4611686018427381120-0-item_pic.jpg,730136503602.jpg,派乐熊×专注儿童健康睡眠 全拆儿童S形黄麻床垫 15% 政府补贴 因地区差异，补贴(优惠)信息详见支付页面 家装节 88VIP消费券 立减12% 88VIP专享 儿童 美国出口品质+5A双认证 专用 榻榻米/上下铺/折叠可定制
23,23,693457489039,派乐熊儿童全拆S形黄麻床垫学生宿舍上下铺加硬护脊青少年榻榻米,派乐熊儿童床垫品牌店,8684.94,10,7,"1,240.71",未透出,护脊偏硬支撑 | 环保椰棕/黄麻 | 双面双睡感/可拆洗,平台/政府大额补贴,促销大字报冲击型,https://detail.tmall.com/item.htm?id=693457489039&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=693457489039,https://img.alicdn.com/bao/uploaded/i4/371424161/O1CN01GAKVgwkHy2L1chua_!!371424161.jpg,693457489039.jpg,派乐熊×专注儿童健康睡眠 全拆儿童S形黄麻床垫 15% 政府补贴 因地区差异，补贴(优惠)信息详见支付页面 家装节 88VIP消费券 立减12% 88VIP专享 儿童 美国出口品质+5A双认证 专用 榻榻米/上下铺/折叠可定制
24,24,816598391499,凯菲露乳胶床垫独立弹簧卧室家用防塌护脊黄麻硬垫22cm厚酒店睡感,凯菲露家具旗舰店,8600.04,8,5,"1,720.01",未透出,护脊偏硬支撑 | 天然乳胶 | 环保椰棕/黄麻 | 智能调节深睡,平台/政府大额补贴 | 免费试睡保障 | 免费送装一体 | 热销爆款背书 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=816598391499&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=816598391499,https://img.alicdn.com/bao/uploaded/i4/2218234661637/O1CN01GSWXKUkhxHF1chua_!!4611686018427382533-0-item_pic.jpg,816598391499.jpg,KKAIFEL凯菲露×天猫家装节 官方5A质量等级认证 本店销量 TOP1 评价有礼 ￥20 咨询客服领 KAIFEL 评价有礼 返20元红包 抢 多重优惠 全店立减12% 政府补贴15% 150元券 咨询客服享好礼 叠加立减 限时补贴拍下立减 下拉详情了解更多 + 88VIP消费券 叠加至高减 原生黄麻拒绝甲醛无惧塌陷 48% 顺丰速发送货上楼 限部分 100天真正免费试睡 尺寸地区
25,25,826409177301,睡眠骑士乳胶床垫硬垫30cm厚加硬独立袋弹簧五星级酒店黄麻护脊,睡眠骑士床垫企业店,8529.0,5,3,"2,843.00",未透出,护脊偏硬支撑 | 天然乳胶 | 独立袋装弹簧 | 环保椰棕/黄麻,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,产品材质分层结构拆解型,https://detail.tmall.com/item.htm?id=826409177301&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=826409177301,https://img.alicdn.com/bao/uploaded/i3/720743073/O1CN016MZ9Zc1YZUESmXEAG_!!720743073.jpg,826409177301.jpg,SLEEP° 睡眠骑士 官方优选 KNIGHT 五星级护脊撑腰 3D支撑层|加硬护脊 30CM 200天免费试睡 |20年超长质保 加硬护脊 现货速发 顺丰送到家 部分尺寸 及地区 花呗分期免息 365天免费仓储 免费送货到家
26,26,1060750230053,麻师傅中老年人护腰脊神器偏硬黄麻独立弹簧床垫家用席梦思20cm厚,麻师傅诺隆专卖店,8303.0,8,7,"1,186.14",未透出,护脊偏硬支撑 | 环保椰棕/黄麻,平台/政府大额补贴,促销大字报冲击型,https://detail.tmall.com/item.htm?id=1060750230053&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=1060750230053,https://img.alicdn.com/bao/uploaded/i1/2221163466073/O1CN01ksG3Gliph2I21stE_!!4611686018427383129-0-item_pic.jpg,1060750230053.jpg,麻师傅 ? 中老年专用 硬弹簧床垫 政府补贴 15% + 家装节 12% 顺丰 加硬护脊腰轻松 发货
27,27,878994904392,悠梦思酒店弹簧床垫15cm薄乳胶黄麻1.8席梦思家用椰棕垫子软垫,yarges悠梦思旗舰店,7577.05,7,7,"1,082.44",未透出,天然乳胶 | 环保椰棕/黄麻,平台/政府大额补贴 | 免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=878994904392&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=878994904392,https://img.alicdn.com/bao/uploaded/i4/2215907225135/O1CN01ybay1s2BLBH2vH2e_!!4611686018427383343-0-item_pic.jpg,878994904392.jpg,YARGES悠梦思 15cm薄弹簧床垫 101天真正免费试睡 88 活动下单即享 折 YARGES悠梦思 88消费券 （立即抢购无需凑单） 限时立享至高减150元 88VIP可用 数量有限详情咨询客服 天猫家装节 抢 政府补贴15% 因地区差异，补贴信息详情请见支付页面！ 官方立减12% 下单入会“抢 99 舒睡枕x2 现货下单顺丰速发 质保20年 限部分 尺寸地区 免费送货到家 分期免息 1365天免费仓储
28,28,640048898334,睡眠骑士儿童床垫0胶0甲醛护脊偏硬20cm独立袋弹簧乳胶青少年专用,睡眠骑士床垫企业店,7260.0,5,5,"1,452.00",未透出,护脊偏硬支撑 | 天然乳胶 | 独立袋装弹簧 | 环保椰棕/黄麻 | 亲肤透气面料,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?id=640048898334&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=640048898334,https://img.alicdn.com/bao/uploaded/i1/720743073/O1CN01l2ghWxskjeD2vH2e_!!720743073.jpg,640048898334.jpg,SLEEP 官方优选 睡眠骑士 KNIGHT 呼呼款 TOHELLWITH i9ooz 透气支撑·儿童床垫 空气纤维一天然黄麻 10-24CM 现货速发顺丰送到家 SF 加硬护脊 部分尺寸及地区详情咨询客服 200天免费试睡 花呗分期免息 365天免费仓储 免费送货到家
29,29,721092643270,睡眠骑士记忆棉床垫五星级酒店床垫卧室加厚乳胶30cm厚家用软垫,睡眠骑士床垫企业店,6678.0,4,4,"1,669.50",未透出,天然乳胶 | 零压记忆棉,免费试睡保障 | 买赠高价值赠品 | 花呗免息分期 | 官方正品权威背书,标准电商综合展示型,https://detail.tmall.com/item.htm?id=721092643270&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=721092643270,https://img.alicdn.com/bao/uploaded/i1/720743073/O1CN01LUfxMa1YZUESUoVg9_!!720743073.jpg,721092643270.jpg,SLEEP° 睡眠骑士 官方优选 KNIGHT 记忆棉酒店床垫 舒适睡感5CM记忆棉 uydogs 30CM 200天免费试睡 20年超长质保 加厚贴合 现货速发 顺丰送到家 部分尺寸 及地区 花呗分期免息 365天免费仓储 免费送货到家
30,30,1051956336669,麻师傅全拆席梦思床垫酷布独立袋弹簧酒店记忆棉乳胶软硬可调家用,麻师傅舒梦专卖店,6571.92,6,6,"1,095.32",未透出,天然乳胶 | 独立袋装弹簧 | 零压记忆棉,平台/政府大额补贴 | 买赠高价值赠品,促销大字报冲击型,https://detail.tmall.com/item.htm?id=1051956336669&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=1051956336669,https://img.alicdn.com/bao/uploaded/i4/2221247863396/O1CN01FCGZvfuX4wB1chua_!!4611686018427386468-0-item_pic.jpg,1051956336669.jpg,麻师傅 ? 全拆软硬睡感可调节 政府补贴 15% + 家装节 12% Masu岛傅 拒绝 下单赠送大件运费险 甲醛 静音酷布独立袋弹簧
31,31,42242821658,铂马仕 加厚进口乳胶床垫 超软席梦思弹簧床垫1.5m 1.8米单双人,铂马仕旗舰店,6431.42,4,4,"1,607.86",￥500,天然乳胶,平台/政府大额补贴 | 买赠高价值赠品 | 官方正品权威背书,促销大字报冲击型,https://detail.tmall.com/item.htm?id=42242821658&sku_properties=21433:50753460,https://detail.tmall.com/item.htm?id=42242821658,https://img.alicdn.com/bao/uploaded/i3/2165873208/O1CN01ScF4mXUkiRB2vH2e_!!4611686018427386424-0-item_pic.jpg,42242821658.jpg,铂马仕 家装节 POMOSER 5CM进口乳胶 蜂巢加密弹簧五星级酒店睡眠 ARCHITEC POMOSER POMOSER 双重补贴拍下立减！ 惊喜红包限时抢！ 政府补贴 官方补贴 惊喜红包 88折消费券 立减15% 立减12% 不止9折至高减500元 详见支付页面 可叠加店铺券 88VIP可用 送 单品直降约 现货速发顺丰到家 限部分 咨询客服抢舒睡枕X2 尺寸地区 37% 下单入会享好礼 ￥20 会员专享券 门槛 POMOSER
